Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
F1,Polyfuse,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,93.4212,-59.944,-90.0,top
Q1,AO3400A,SOT-23,123.825,-71.12,0.0,top
R1,1000,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,120.7825,-71.12,-90.0,top
R10,1.5,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,116.84,-74.295,-90.0,top
R11,1.5,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,111.76,-74.295,-90.0,top
R12,1.5,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,106.68,-74.295,-90.0,top
R13,1.5,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,101.6,-74.295,-90.0,top
S1,TL3342F160QG,SW_TL3342F160QG,109.855,-102.235,0.0,top
