Comment,Designator,Footprint,LCSC
47pF,"C3,C4",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1671
AO3400A,Q1,SOT-23,C20917
1000,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21190
510k,"R2,R3",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23192
MCP6022-I_SN,U4,SOIC127P599X175-8N,C2923397
